pr_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_lm	pr_is_bing	tcga_id	cna_gain	cna_gain_deep	cna_loss	cna_loss_deep	mutations	outliers_positive	outliers_negative
207593_at	64137	ABCG4	ATP binding cassette subfamily G member 4	0	1	ABCG4|64137	1041	60	2572	92	59	64	0
219433_at	54880	BCOR	BCL6 corepressor	0	1	BCOR|54880	1203	52	1929	84	144	0	71
208368_s_at	675	BRCA2	breast cancer 2	0	1	BRCA2|675	1329	93	2962	116	205	0	70
206607_at	867	CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase	0	1	CBL|867	1038	60	2633	99	61	0	61
204258_at	1105	CHD1	chromodomain helicase DNA binding protein 1	0	1	CHD1|1105	1128	52	2630	116	93	0	80
206070_s_at	2042	EPHA3	EPH receptor A3	1	1	EPHA3|2042	1373	87	2124	68	172	92	0
216836_s_at	2064	ERBB2	erb-b2 receptor tyrosine kinase 2	1	1	ERBB2|2064	2149	384	1364	0	117	135	57
214053_at	2066	ERBB4	erb-b2 receptor tyrosine kinase 4	0	1	ERBB4|2066	1271	68	1600	124	223	243	0
204667_at	3169	FOXA1	forkhead box A1	0	1	FOXA1|3169	1392	151	1780	0	69	122	61
210515_at	6927	HNF1A	HNF1 homeobox A	0	0	HNF1A|6927	1449	55	1230	0	65	113	62
212196_at	3572	IL6ST	interleukin 6 signal transducer	0	1	IL6ST|3572	1173	50	2306	113	73	0	179
209984_at	23081	KDM4C	lysine (K)-specific demethylase 4C	0	1	KDM4C|23081	1185	149	3057	148	73	0	51
203992_s_at	7403	KDM6A	lysine (K)-specific demethylase 6A	0	1	KDM6A|7403	1234	81	1944	143	130	0	72
219813_at	9113	LATS1	large tumor suppressor kinase 1	0	1	LATS1|9113	955	50	2531	77	80	0	76
219643_at	53353	LRP1B	LDL receptor related protein 1B	0	1	LRP1B|53353	1304	67	1771	466	628	129	0
209014_at	9500	MAGED1	MAGE family member D1	0	1	MAGED1|9500	1276	72	1788	67	63	0	57
212678_at	4763	NF1	neurofibromin 1	0	1	NF1|4763	1796	108	1697	94	294	0	78
214607_at	5063	PAK3	p21 protein (Cdc42/Rac)-activated kinase 3	0	1	PAK3|5063	1406	54	1569	50	62	175	0
208305_at	5241	PGR	progesterone receptor	0	0	PGR|5241	1223	141	2282	89	93	60	0
214043_at	5789	PTPRD	protein tyrosine phosphatase, receptor type D	0	1	PTPRD|5789	1207	178	3411	464	253	0	55
208984_x_at	8241	RBM10	RNA binding motif protein 10	0	1	RBM10|8241	1274	105	1761	62	89	0	68
207569_at	6098	ROS1	ROS proto-oncogene 1 , receptor tyrosine kinase	0	0	ROS1|6098	979	52	2624	127	209	232	0
204292_x_at	6794	STK11	serine/threonine kinase 11	0	1	STK11|6794	1116	59	2589	95	69	0	58
202778_s_at	7750	ZMYM2	zinc finger, MYM-type 2	1	1	ZMYM2|7750	1309	83	2796	78	83	0	59
219995_s_at	79755	ZNF750	zinc finger protein 750	0	1	ZNF750|79755	2431	217	1181	0	61	64	89
201334_s_at	23365	ARHGEF12	Rho guanine nucleotide exchange factor 12	1	1	ARHGEF12|23365	1023	56	2581	106	98	0	54
202076_at	329	BIRC2	baculoviral IAP repeat containing 2	1	1	BIRC2|329	1236	168	2179	72	0	66	57
218362_s_at	22894	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	0	1	DIS3|22894	1454	99	2803	120	68	0	63
201244_s_at	5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0	1	RAF1|5894	1145	123	2595	72	50	62	0
209227_at	7991	TUSC3	tumor suppressor candidate 3	0	1	TUSC3|7991	1352	0	3665	402	61	61	133
203844_at	7428	VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	0	1	VHL|7428	1174	112	2678	84	222	0	118
202123_s_at	25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	1	1	ABL1|25	1266	65	2362	0	76	0	79
211207_s_at	23305	ACSL6	acyl-CoA synthetase long-chain family member 6	0	1	ACSL6|23305	1273	116	2417	57	62	0	0
65718_at	25960	ADGRA2	adhesion G protein-coupled receptor A2	0	1	GPR124|25960	2336	396	2346	140	71	0	0
206105_at	2334	AFF2	AF4/FMR2 family member 2	0	0	AFF2|2334	1653	149	1547	71	183	0	0
219199_at	27125	AFF4	AF4/FMR2 family member 4	0	1	AFF4|27125	1292	119	2428	55	81	0	0
212992_at	113146	AHNAK2	AHNAK nucleoprotein 2	0	1	AHNAK2|113146	1394	103	2293	52	424	0	0
NA	NA	AK9	NA	NA	NA	NA	977	62	2538	140	113	0	0
203809_s_at	208	AKT2	v-akt murine thymoma viral oncogene homolog 2	0	0	AKT2|208	1866	217	1392	0	50	69	0
208212_s_at	238	ALK	anaplastic lymphoma receptor tyrosine kinase	0	0	ALK|238	1862	83	750	0	149	115	0
207381_at	242	ALOX12B	arachidonate 12-lipoxygenase, 12R type	0	0	ALOX12B|242	784	0	3703	90	61	139	0
219437_s_at	29123	ANKRD11	ankyrin repeat domain 11	0	1	ANKRD11|29123	1321	0	2923	145	159	0	67
203525_s_at	324	APC	adenomatous polyposis coli	0	1	APC|324	1222	94	2593	119	362	0	0
201895_at	369	ARAF	A-Raf proto-oncogene, serine/threonine kinase	0	1	ARAF|369	1270	97	1784	60	51	0	0
209517_s_at	9070	ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	0	1	ASH2L|9070	2326	413	2246	132	0	60	0
218659_at	55252	ASXL2	additional sex combs like 2, transcriptional regulator	0	1	ASXL2|55252	1836	75	782	0	115	0	118
212672_at	472	ATM	ATM serine/threonine kinase	0	1	ATM|472	1042	62	2616	116	253	0	0
212849_at	8312	AXIN1	axin 1	1	1	AXIN1|8312	2017	108	1628	51	63	0	0
201419_at	8314	BAP1	BRCA1 associated protein 1	0	1	BAP1|8314	841	0	3146	140	138	0	61
210347_s_at	53335	BCL11A	B-cell CLL/lymphoma 11A	0	1	BCL11A|53335	1740	107	604	0	111	0	97
219528_s_at	64919	BCL11B	B-cell CLL/lymphoma 11B	0	1	BCL11B|64919	1286	57	2339	55	76	0	0
202102_s_at	23476	BRD4	bromodomain containing 4	0	1	BRD4|23476	1607	187	1582	0	81	0	59
213268_at	23261	CAMTA1	calmodulin binding transcription activator 1	0	0	CAMTA1|23261	1036	81	2611	101	139	0	0
220247_at	57082	CASC5	cancer susceptibility candidate 5	0	1	CASC5|57082	769	0	2601	88	105	0	68
213373_s_at	841	CASP8	caspase 8	0	1	CASP8|841	1342	73	1155	0	116	0	57
220638_s_at	23624	CBLC	Cbl proto-oncogene C, E3 ubiquitin protein ligase	0	1	CBLC|23624	1642	154	1546	0	0	207	108
218578_at	79577	CDC73	cell division cycle 73	0	1	CDC73|79577	3491	329	575	0	60	0	56
201131_s_at	999	CDH1	cadherin 1	0	1	CDH1|999	1336	0	2625	92	191	0	129
204831_at	1024	CDK8	cyclin-dependent kinase 8	0	1	CDK8|1024	1324	92	2711	51	0	0	198
