pr_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_lm	pr_is_bing	tcga_id	cna_gain	cna_gain_deep	cna_loss	cna_loss_deep	mutations	outliers_positive	outliers_negative
220951_s_at	29974	A1CF	APOBEC1 complementation factor	0	0	A1CF|29974	0	0	358	0	0	94	0
221217_s_at	54715	RBFOX1	RNA binding protein, fox-1 homolog (C. elegans) 1	0	1	A2BP1|54715	0	0	0	0	0	350	0
221131_at	51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	0	0	A4GNT|51146	0	0	0	0	0	154	0
205969_at	13	AADAC	arylacetamide deacetylase	0	1	AADAC|13	355	0	113	0	0	302	0
201511_at	14	AAMP	angio associated migratory cell protein	0	1	AAMP|14	984	0	1428	51	0	0	0
207225_at	15	AANAT	aralkylamine N-acetyltransferase	0	0	AANAT|15	0	0	0	0	0	71	0
202169_s_at	60496	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	0	1	AASDHPPT|60496	0	0	0	0	0	0	56
220159_at	79963	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	0	1	ABCA11P|79963	0	0	0	0	0	0	52
215465_at	26154	ABCA12	ATP binding cassette subfamily A member 12	0	0	ABCA12|26154	268	0	202	0	72	104	0
210082_at	24	ABCA4	ATP binding cassette subfamily A member 4	0	0	ABCA4|24	0	0	86	0	0	87	0
211224_s_at	8647	ABCB11	ATP binding cassette subfamily B member 11	0	0	ABCB11|8647	0	0	0	0	0	147	0
209993_at	5243	ABCB1	ATP binding cassette subfamily B member 1	0	1	ABCB1|5243	3110	161	627	0	175	0	0
209620_s_at	22	ABCB7	ATP binding cassette subfamily B member 7	0	1	ABCB7|22	106	0	85	0	0	0	0
202804_at	4363	ABCC1	ATP binding cassette subfamily C member 1	0	1	ABCC1|4363	108	0	0	0	0	0	0
206155_at	1244	ABCC2	ATP binding cassette subfamily C member 2	0	1	ABCC2|1244	0	0	0	0	0	81	0
210246_s_at	6833	ABCC8	ATP binding cassette subfamily C member 8	0	1	ABCC8|6833	0	0	92	0	0	280	0
208561_at	10060	ABCC9	ATP binding cassette subfamily C member 9	0	1	ABCC9|10060	118	0	73	0	0	0	0
205142_x_at	215	ABCD1	ATP binding cassette subfamily D member 1	0	1	ABCD1|215	0	0	69	0	0	0	0
201873_s_at	6059	ABCE1	ATP binding cassette subfamily E member 1	0	1	ABCE1|6059	0	0	0	0	0	0	71
207593_at	64137	ABCG4	ATP binding cassette subfamily G member 4	0	1	ABCG4|64137	1041	60	2572	92	59	64	0
218633_x_at	55347	ABHD10	abhydrolase domain containing 10	0	1	ABHD10|55347	95	0	0	0	0	0	0
209028_s_at	10006	ABI1	abl interactor 1	0	1	ABI1|10006	1389	65	1838	0	0	0	0
202123_s_at	25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	1	1	ABL1|25	1266	65	2362	0	76	0	79
206411_s_at	27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	0	0	ABL2|27	3648	343	442	0	80	0	0
206068_s_at	33	ACADL	acyl-CoA dehydrogenase, long chain	0	1	ACADL|33	0	0	0	0	0	145	0
